Encaje,Nombre,Sexo,Edad,Edad (meses),Etapa,Nacimiento,Tamaño,Peso (kg),Raza,Tipo de raza,PPP,Provincia,Zona,Localidad,Protectora,Tipo de protectora,Estado,Urgente,Buena con niños,Esterilizada,Vacunada,Con chip,Duplicada,Origen,Alta,Última revisión,Ficha,Foto,Descripción,Id
92,Dema,Hembra,6 meses,6,Cachorra,,Mediano,,Mestizo,Mestiza,No,Murcia,Provincia vecina,"Murcia, España",Spandy,Protectora,Disponible,No,Sí,Sí,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/ZrzR4uY6Su,https://img.miwuki.com/aT3qW2b4,Es una cachorra súper juguetona se lleva bien con otros perros y es muy cariñosa con la gente,miwuki:zrzr4uy6su
92,Guapi,Hembra,9 meses,9,Cachorra,,Mediano,14,Podenco Andaluz,De raza,No,Valencia,Provincia vecina,"Valencia, España",Luis D.,Particular,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/RmXNMzosdH,https://img.miwuki.com/NV3HF7x0,La adopte y me la trajeron desde murcia. Es mitad podenca mitad Jack russell,miwuki:rmxnmzosdh
92,Loli,Hembra,4 meses,4,Cachorra,,Mini,3,Mestizo,Mestiza,No,Valencia,Provincia vecina,"Valencia, España",Gherghina G.,Particular,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/HnM7NbyYyg,https://img.miwuki.com/yA9TR4w2,Loli es una perrita de 1 añito de edad.,miwuki:hnm7nbyyyg
92,Mady,Hembra,3 meses,3,Cachorra,2026-05-28,Mediano,,Labrador Retriever,De raza,No,Valencia,Provincia vecina,Valencia,Help Dog Valencia,,Disponible,No,,Sí,,,No,Kerubi,2026-08-07,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/mady/,https://kerubi.es/wp-content/uploads/2026/08/765e28da-b215-4561-8685-a13e5f52e4b0.jpeg,"𝐌𝐀𝐃𝐘 𝐁𝐔𝐒𝐂𝐀 𝐅𝐀𝐌𝐈𝐋𝐈𝐀 𝐃𝐄 𝐀𝐃𝐎𝐏𝐂𝐈𝐎́𝐍 𝐌𝐚𝐝𝐲 tiene unos 2 meses y medio o 3 meses. Será tamaño mediano grande, mestiza de labrador y pastora alemana. Es una adorable cachorrita, mimosa y cariñosa. Está en un pueblo de Valencia. Se hace un contrato de adopción, irá con vacunas, chip etcétera…Si quieres que 𝐌𝐚𝐝𝐲 sea una más de tú familia envíanos WhatsApp a 661 75 51 27 ¿𝗡𝗢𝗦 𝗔𝗬𝗨𝗗𝗔𝗦 𝗔 𝗦𝗘𝗚𝗨𝗜𝗥 𝗔𝗬𝗨𝗗𝗔́𝗡𝗗𝗢𝗟𝗢𝗦! 🐕🐈‍⬛ ¡𝗣𝗢𝗥 𝗦𝗢𝗟𝗢 𝟭 𝗘𝗨𝗥𝗢 𝗔𝗟 𝗠𝗘𝗦 𝗣𝗨𝗘𝗗𝗘𝗦 𝗛𝗔𝗖𝗘𝗥𝗟𝗢? 👇🏾 https://www.teaming.net/group/list?q=HelpDog%20Valencia 𝗘𝗹 𝗺𝗮𝗹𝘁𝗿𝗮𝘁𝗼 𝘆 𝗮𝗯𝗮𝗻𝗱𝗼𝗻𝗼 𝗮𝗻𝗶𝗺𝗮𝗹 𝗲𝘀 𝘂𝗻 𝗱𝗲𝗹𝗶𝘁𝗼 𝘁𝗶𝗽𝗶𝗳𝗶𝗰𝗮𝗱𝗼 𝗲𝗻 𝗲𝗹 𝗖𝗼́𝗱𝗶𝗴𝗼 𝗣𝗲𝗻𝗮𝗹. #elabandonoesundelitopenal #AdoptaYSalvaUnaVida #NoSonJuguetes #adoptanocompres #adoptaparatodalavidanosonjuguetes #EsterilizarSalvaVidas #adoptaunamigo #AYUDACOMPARTIR #AyudanosACompartir #todosseguidores",kerubi:mady
92,Noa,Hembra,6 meses,6,Cachorra,,Mediano,15,Mestizo,Mestiza,No,Murcia,Provincia vecina,"Murcia, España",SOS Animals,Protectora,Disponible,No,Sí,Sí,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/S7LHFHKG7b,https://img.miwuki.com/Oh4jm8v2,"muy buena y sociable con perros, gatos, gente... rescatada de un abandono de cachorra",miwuki:s7lhfhkg7b
92,Sisí,Hembra,5 meses,5,Cachorra,,Mediano,16,Mestizo,Mestiza,No,Murcia,Provincia vecina,"Murcia, España",Cuatro Patas Jumilla,Protectora,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/4ykEjf56ce,https://img.miwuki.com/Hy3LL1p6,"Carácter: Muy cariñosa, inteligente, juguetona y sociable. Es muy equilibrada y educada para su edad. Tranquila para ser un cachorro. Historia: Encontrada sola en la calle. Salud: No tiene analítica. No tiene síntomas de enfermedad. Vacunas al día. Requisitos: Sacar licencia PPP",miwuki:4ykejf56ce
92,Sky,Hembra,9 meses,9,Cachorra,,Mediano,15,Border Collie,De raza,No,Castellón,Provincia vecina,"Castellón, España",Giipsy B.,Particular,Disponible,No,Sí,,,,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/XrRgPVUVpQ,https://img.miwuki.com/wa4Xn2Y2,"Lo encontramos en un criadero ilegal, sus ojos color miel son tan expresivos, lleva con nosotros varios meses ya que eran muy bebés cuando los rescatamos. Se lleva muy bien con niños, gatos y perros. Muy juguetona es muy dulce, necesita adopción urgente ya no la podemos mantener en casa, tenemos más animales.",miwuki:xrrgpvuvpq
91,Mika,Hembra,12 meses,12,Joven,,Pequeño,,Mezcla de Podenco Andaluz,Mezcla,No,Alicante,Alicante,Callosa de Segura,APADAC Callosa de Segura,,Disponible,No,,,,,No,APADAC Callosa de Segura,2026-08-09,2026-08-10,https://protectora-apadac.org/adopta/mika,https://protectora-apadac.org/_next/image?url=%2Fapi%2Fmedia%2Ffile%2F850baff7-7988-4906-b751-6c847c18c500.jpg&w=3840&q=75,"Adopción responsable Ella es Mika: entusiasmo puro, saltos de alegría y mimos infinitos esperándote 💛 Convivencia Cuidados Historia Mika, una explosión de felicidad que siempre te recibe con una sonrisa ✨",apadac:mika
90,Anael,Hembra,10 meses,10,Cachorra,2025-10-01,Mini,4.4,,,No,Alicante,Alicante,Alicante,SPAP Villena,,Disponible,No,,,,,No,SPAP Villena,2026-08-03,2026-08-10,https://protectoravillena.com/animal/anael/,https://protectoravillena.com/wp-content/uploads/Anael-1.jpg,"Anael llegó a la protectora el 4 de junio de 2026 y, actualmente, se encuentra en una casa de acogida, donde está demostrando lo especial que es. Es un auténtico caramelico: una perrita simpática, muy cariñosa y con ganas de compartir momentos con las personas. Con otros perros se relaciona bien y, durante los paseos, camina por la calle con tranquilidad, sin mostrar miedos. Ahora solo le falta encontrar un hogar definitivo donde pueda seguir siendo esa compañera dulce y encantadora que está demostrando ser. Si crees que Anael puede formar parte de tu familia, ponte en contacto con nosotros. Quizá la compañera que estás buscando lleva esperándote durante todo este tiempo.",villena:10073
90,Cafe,Hembra,8 meses,8,Cachorra,,Mediano,25,Mestizo,Mestiza,No,Murcia,Provincia vecina,"Murcia, España",Khalid T.,Particular,Disponible,No,Sí,Sí,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/X5cuQLUd32,https://img.miwuki.com/Gl6Um8k5,Me la dieron y no me puedo hacer cargo,miwuki:x5cuqlud32
90,Shuri,Hembra,9 meses,9,Cachorra,,Mediano,12,Mestizo,Mestiza,No,Valencia,Provincia vecina,"Valencia, España",Aurelio M.,Particular,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/jxmnNo0G2j,https://img.miwuki.com/pe8xS9z5,Es muy amigable. Se lleva bien con otros perros y con las personas.,miwuki:jxmnno0g2j
90,Tequila,Hembra,8 meses,8,Cachorra,,Mediano,10,Mestizo,Mestiza,No,Valencia,Provincia vecina,"Valencia, España",Carlos H.,Particular,Disponible,No,Sí,,Sí,Sí,No,Miwuki Pet Shelter,2026-08-03,2026-08-10,https://petshelter.miwuki.com/c/x0LZ65XMDs,https://img.miwuki.com/pV8KN3Z4,Necesito encontrarle una buena casa,miwuki:x0lz65xmds
89,Alondra,Hembra,2 meses,2,Cachorra,2026-06-02,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/alondra/,https://kerubi.es/wp-content/uploads/2026/07/FB_IMG_1784663704452.jpg,"¡ALONDRA BUSCA CASA DEFINITIVA! 🏡❤️ Hembra 10/10/25 Será de tamaño mediano (no creemos que más de 20kg) Alondra fue encontrada junto con sus hermanos, y acabaron en el servicio de recogida. 4 fueron separados prematuramente pero 4 pudieron permanecer juntos. Faltan Piano y ella por encontrar casas. Buscamos para ella un entorno tranquilo, no urbano. Necesita un sitio y una familia tranquila, porque cuando tiene muchos estímulos y se pone nerviosa, le cuesta gestionar algunas cosas por miedo. Es una perrita sensible que tenía altos niveles de excitación en el refugio. Ahora está de categoría. Como veis, con paciencia puede convivir con otros perretes, aunque creemos que también puede hacerlo sola 🍀 Es una perrita juguetona, le gustan todos los juguetes habidos y por haber. Y es muy cariñosa con las personas, le gusta estar con otrxs. Y necesita personas con paciencia que entiendan que su vida ha sido abandono y luego vivir en un refugio durante los primeros meses de su vida. Es importante que nos ayudes a DIFUNDIR para que pueda encontrar su hogar 🏡 644260367 (solo WhatsApp) Comunidad Valenciana 📍, pero valoramos también otras comunidades.",kerubi:alondra
89,Arena,Hembra,3 meses,3,Cachorra,2026-05-13,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/arena/,https://kerubi.es/wp-content/uploads/2026/07/FB_IMG_1783195167710.jpg,"¡ARENA NECESITA UNA ACOGIDA O ADOPCIÓN, NO VE BIEN! 💔 Arena fue sacada de la perrera, o sea que alguien la tuvo que abandonar. Nunca más fue reclamada por nadie. Estuvo un tiempo en una casa pero ahora está con nosotras en el refugio. Nos hemos dado cuenta de que NO VE BIEN. Cuando hay luz parece que tiene una ceguera casi total, y cuando hay algo menos creemos que ve sombras. Sospechamos de una acromatopsia como Sayan, pero tenemos cita con ella para oftalmología el viernes y sabremos su diagnóstico 🙏🏽 Es una perra con muchos miedos, y por eso necesita una casa donde ser feliz para siempre. Buscamos una ACOGIDA DE LARGA ESTANCIA o UNA ADOPCIÓN. No la vamos a mover para poco tiempo. Buscamos una casa con ALGO DE TERRENO para que pudiera hacer sus necesidades sin tener que salir todas las veces que lo requieren, puesto que la correa y la calle le dan pánico. Creemos que porque no ve, porque cuando ya conoce el terreno y donde están las cosas, tiene mucho menos miedo. Entonces sería genial para la adaptación ir poco a poco con las salidas. Necesita una persona con paciencia que le vaya enseñando a tener menos miedo en la calle. Con algunos ruidos se asusta, y hombres muy grandes o con la voz muy grave también. Pero no hace nada, solo ladra o se va corriendo. La pobre lo ha tenido que pasar realmente mal 💔 En cambio… cuando ya sabe quién eres y está agusto es la perrita más DULCE del mundo 🌎 Le encantan los mimitos, levanta la pata para que le rasques la pancita. Los premios también le gustan mucho. Es una perreta bastante tranquila, aunque también le gusta jugar con los juguetes y con otros perros. Es muy inteligente, alguna vez que hay pan duro, lo coge y se lo lleva a la tierra al sitio más fresquito para comérselo tranquila jiji Lo ideal sería una casa con otro perrete que le aporte calma, pero valoraremos opciones sin perros. Fecha de nacimiento: 01/08/24 Es hembra y pesará sobre 18kg. MERECE UNA OPORTUNIDAD, y no estar aquí 😔 644260367 (solo WhatsApp) si puedes ayudar Comunidad Valenciana 📍 solo acogida España 📍 adopción, la llevaremos sin coste AYÚDANOS COMPARTIENDO, es la única manera de que encontremos a su familia ❤️",kerubi:arena
89,Candy,Hembra,6 meses,6,Cachorra,2026-02-05,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/candy-2/,https://kerubi.es/wp-content/uploads/2026/07/FB_IMG_1784898024517.jpg,"CANDY !!!! 💚 Nuestra cachorra orejona favorita , que con estos calores va con dos palmos de lengua fuera . SEGUIMOS BUSCANDO UN HOGAR !!! La peque va creciendo sin familia , ella es cariñosa , muy muy sociable y juguetona . Muy atenta a seguirte . No se entiende como aún no tiene familia. De adulta pesará unos 25 kg , tiene 5.5 meses , se nota que ya va madurando un poquito. Necesita a alguien tan alegre y cariñoso como ella !!! Contacto: 628 64 72 84. ( Wasap ) #adopta #cachorros #rescate",kerubi:candy-2
89,Chia,Hembra,2 meses,2,Cachorra,2026-06-21,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/moka-y-chia/,https://kerubi.es/wp-content/uploads/2026/06/FB_IMG_1781779731011.jpg,"Chia es una perra muy vital , activa , tremendamente cariñosa y sociable , con un carácter muy noble . Está esterlizada y tiene unos 3 o 4 años . Es de talla mediana y la actual ley requiere seguro y licencia. Os rogamos difusión , pues a pesar de ser maravillosa lo tiene muy difícil por el estigma social . Valencia , contacto : [email protected]",kerubi:moka-y-chia
89,Flora,Hembra,3 meses,3,Cachorra,2026-05-18,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/flora/,https://kerubi.es/wp-content/uploads/2026/05/FB_IMG_1779047421122.jpg,"¡CUATRO AÑOS BUSCANDO CASA! ⚠️☹️ FLORA 🫶🏽 Hembra Edad: 10/06/22 Tamaño mediano Buscamos ACOGIDA de larga estancia o ADOPCIÓN 🏡 A Flora la recogimos de la perrera cuando apenas tenía 3 meses, junto con sus dos hermanos, Botón y Flaca. Flaca ya está adoptada pero ellos todavía no. Y de eso hace ya CUATRO AÑOS. Han pasado por la Dana y por varios sitios y ahora Flora está en una residencia. Queremos que Flora por fin, tenga la oportunidad de estar en un hogar 🏡 Es una perreta con muchos miedos. Al principio es tímida con las personas, así que necesita paciencia para confiar. Buscamos una familia con otro perro porque se lleva genial con ellos y le dan mucha confianza. También debe ser en un sitio fuera del entorno urbano. Ya ha estado en ciudad y lo pasa mal. Es sociable con gatos también. Le gusta mucho estar con otros perretes, y los premios ricos. También le gusta mucho pasear. Es un solete, solo necesita a alguien que mire más allá y le dé la oportunidad de ser feliz ❤️🏡 Comunidad Valenciana 📍 para acogida España 📍 para adopción 644260367 (solo WhatsApp) COMPARTE ESTA PUBLICACIÓN PARA QUE ENCONTREMOS A SU FAMILIA, POR FAVOR 🍀",kerubi:flora
89,Freya,Hembra,3 meses,3,Cachorra,2026-05-11,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Salvando patitas,,Disponible,No,,Sí,,Sí,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/freya-4/,https://kerubi.es/wp-content/uploads/2026/05/FB_IMG_1778437702730.jpg,"⚡ADOPCIÓN ESPECIAL ⚡ Esta perrita tan guapa es Freya, tiene 3 añitos, pesa 18 a 20 kg y necesita una familia paciente y adecuada para ella. Es una perrita insegura y activa (dentro de casa es buena y tranquila). Tambien es muy cariñosa, obediente y juguetona cuando gana confianza. Freya muestra reactividad a personas y a perros cuando pasea por ciudad, ya que va muy estresada y asustada si hay mucho tránsito y ruidos… Por lo que buscamos un hogar apartado de ciudades, casa a las afueras de la ciudad o vivienda con terreno donde pueda jugar y desfogar tranquilamente sin el estrés de pasear por ciudad. Esta sana, con chip, vacunas, desparasitada y esterilizada. Se encuentra en Sueca, Valencia. Contacto: 617198153 WhatsApp.",kerubi:freya-4
89,Kira,Hembra,3 meses,3,Cachorra,2026-05-18,Mediano,,Mestizo,Mestiza,No,Castellón,Provincia vecina,Castellón,Lloc de felins,,Disponible,No,,,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/kira-5/,https://kerubi.es/wp-content/uploads/2026/05/Screenshot_2026-05-17-12-43-39-97_6012fa4d4ddec268fc5c7112cbb265e7.jpg,Después de 5 años atada a una cadena Kira por fin conoce la libertad pero le sigue faltando una familia que quiera cuidarla y quererla para siempre. Buena con perros y personas.,kerubi:kira-5
89,Linda,Hembra,3 meses,3,Cachorra,2026-05-06,Mediano,,Mestizo,Mestiza,No,Valencia,Provincia vecina,Valencia,Help Dog Valencia,,Disponible,No,,Sí,,,No,Kerubi,2026-08-03,2026-08-10,https://kerubi.es/animales/perros-en-adopcion/linda-4/,https://kerubi.es/wp-content/uploads/2026/07/cd4c0b5f-7646-4db3-bee6-7642f3ead9c5.jpeg,"𝗟𝗜𝗡𝗗𝗔 𝗕𝗨𝗦𝗖𝗔 𝗙𝗔𝗠𝗜𝗟𝗜𝗔 𝗗𝗘 𝗔𝗗𝗢𝗣𝗖𝗜𝗢́𝗡 Tiene 1 mes y medio o 2 meses aprox… Será tamaño mediana grande. Está en Valencia y su adopción será en Valencia. Se hace cuestionario previo de preguntas, contrato de adopción, se entregará con vacunas, chip etcétera… Lógicamente los gastos veterinarios los debe de cubrir la familia que la adopte. Si quieres que 𝗟𝗶𝗻𝗱𝗮 sea parte de tú familia envía WhatsApp a 661 75 51 27 ¿𝗡𝗢𝗦 𝗔𝗬𝗨𝗗𝗔𝗦 𝗔 𝗦𝗘𝗚𝗨𝗜𝗥 𝗔𝗬𝗨𝗗𝗔́𝗡𝗗𝗢𝗟𝗢𝗦! 🐕🐈‍⬛ ¡𝗣𝗢𝗥 𝗦𝗢𝗟𝗢 𝟭 𝗘𝗨𝗥𝗢 𝗔𝗟 𝗠𝗘𝗦 𝗣𝗨𝗘𝗗𝗘𝗦 𝗛𝗔𝗖𝗘𝗥𝗟𝗢? 👇🏾 https://www.teaming.net/group/list?q=HelpDog%20Valencia 𝗘𝗹 𝗺𝗮𝗹𝘁𝗿𝗮𝘁𝗼 𝘆 𝗮𝗯𝗮𝗻𝗱𝗼𝗻𝗼 𝗮𝗻𝗶𝗺𝗮𝗹 𝗲𝘀 𝘂𝗻 𝗱𝗲𝗹𝗶𝘁𝗼 𝘁𝗶𝗽𝗶𝗳𝗶𝗰𝗮𝗱𝗼 𝗲𝗻 𝗲𝗹 𝗖𝗼́𝗱𝗶𝗴𝗼 𝗣𝗲𝗻𝗮𝗹. #elabandonoesundelitopenal #AdoptaYSalvaUnaVida #NoSonJuguetes #adoptanocompres #adoptaparatodalavidanosonjuguetes #EsterilizarSalvaVidas #adoptaunamigo #AYUDACOMPARTIR #AyudanosACompartir #todosseguidores",kerubi:linda-4
